seconds,gps_longitude,gps_latitude,gps_speed,gps_altitude,gps_bearing,gps_time,Timestamp
835.339058846,31.30124132,30.07358285,3.75,63.0,246.5,1511359758000.0,2017-11-22 11:09:15.248059000
835.648577754,31.30124132,30.07358285,3.75,63.0,246.5,1511359758000.0,2017-11-22 11:09:15.557578000
835.938051295,31.30124132,30.07358285,3.75,63.0,246.5,1511359758000.0,2017-11-22 11:09:15.847051000
836.189126243,31.30120109,30.0735652,4.25,63.0,247.1999969482422,1511359759000.0,2017-11-22 11:09:16.098126000
836.496988431,31.30120109,30.0735652,4.25,63.0,247.1999969482422,1511359759000.0,2017-11-22 11:09:16.405988000
836.81707192,31.30120109,30.0735652,4.25,63.0,247.1999969482422,1511359759000.0,2017-11-22 11:09:16.726072000
837.113070045,31.30115275,30.07354205,5.25,63.0,247.39999389648438,1511359760000.0,2017-11-22 11:09:17.022070000
837.407342545,31.30115275,30.07354205,5.25,63.0,247.39999389648438,1511359760000.0,2017-11-22 11:09:17.316343000
837.691693639,31.30115275,30.07354205,5.25,63.0,247.39999389648438,1511359760000.0,2017-11-22 11:09:17.600694000
837.977274836,31.30115275,30.07354205,5.25,63.0,247.39999389648438,1511359760000.0,2017-11-22 11:09:17.886275000
838.296995565,31.30108688,30.07352495,5.5,62.0,258.8999938964844,1511359761000.0,2017-11-22 11:09:18.205996000
838.517949471,31.30108688,30.07352495,5.5,62.0,258.8999938964844,1511359761000.0,2017-11-22 11:09:18.426949000
838.836976294,31.30108688,30.07352495,5.5,62.0,258.8999938964844,1511359761000.0,2017-11-22 11:09:18.745976000
839.148858221,31.30104042,30.07349276,5.75,61.0,251.1999969482422,1511359762000.0,2017-11-22 11:09:19.057858000
839.467216034,31.30104042,30.07349276,5.75,61.0,251.1999969482422,1511359762000.0,2017-11-22 11:09:19.376216000
839.788082388,31.30104042,30.07349276,5.75,61.0,251.1999969482422,1511359762000.0,2017-11-22 11:09:19.697082000
840.108990773,31.30100768,30.07344941,6.75,59.0,243.6999969482422,1511359763000.0,2017-11-22 11:09:20.017991000
840.421352648,31.30100768,30.07344941,6.75,59.0,243.6999969482422,1511359763000.0,2017-11-22 11:09:20.330353000
840.736973116,31.30100768,30.07344941,6.75,59.0,243.6999969482422,1511359763000.0,2017-11-22 11:09:20.645973000
841.057355148,31.30100768,30.07344941,6.75,59.0,243.6999969482422,1511359763000.0,2017-11-22 11:09:20.966355000
841.376953793,31.30092496,30.07344116,6.5,59.0,243.1999969482422,1511359764000.0,2017-11-22 11:09:21.285954000
841.689811397,31.30092496,30.07344116,6.5,59.0,243.1999969482422,1511359764000.0,2017-11-22 11:09:21.598811000
842.007728325,31.30092496,30.07344116,6.5,59.0,243.1999969482422,1511359764000.0,2017-11-22 11:09:21.916728000
842.32712421,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:22.236124000
842.647084835,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:22.556085000
842.968757491,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:22.877757000
843.257166553,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:23.166166999
843.568044417,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:23.477044000
843.905850094,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:23.814850000
844.187897907,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:24.096898000
844.50821499,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:24.417215000
844.794708167,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:24.703708000
845.067026761,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:24.976027000
845.326953324,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:25.235953000
845.637073167,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:25.546073000
845.959091864,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:25.868092000
846.228176708,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:26.137177000
846.547041708,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:26.456042000
846.858798427,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:26.767798000
847.098005718,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:27.007006000
847.40715577,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:27.316156000
847.718475927,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:27.627476000
848.010757489,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:27.919757000
848.244388999,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:28.153389000
848.557005197,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:28.466005000
848.867007124,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:28.776007000
849.186919468,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:29.095919000
849.440136551,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:29.349137000
849.708491394,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:29.617491000
849.943083634,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:29.852084000
850.24970155,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:30.158702000
850.566970092,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:30.475970000
850.887316967,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:30.796317000
851.141802695,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:31.050803000
851.456963008,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:31.365963000
851.776151601,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:31.685152000
852.076997904,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:31.985998000
852.397014519,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:32.306015000
852.677309466,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:32.586309000
852.987087591,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:32.896088000
853.280564101,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:33.189564000
853.597268685,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:33.506269000
853.916962799,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:33.825963000
854.21288733,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:34.121887000
854.528853892,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:34.437854000
854.810071288,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:34.719071000
855.123727486,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:35.032727000
855.407590142,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:35.316590000
855.726358787,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:35.635359000
856.038390299,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:35.947390000
856.34703561,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:36.256036000
856.620641287,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:36.529641000
856.937860923,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:36.846861000
857.257013267,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:37.166013000
857.577964048,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:37.486964000
857.863325974,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:37.772326000
858.173460245,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:38.082460000
858.473201912,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:38.382202000
858.765991911,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:38.674992000
859.069865922,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:38.978866000
859.341371338,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:39.250371000
859.647892588,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:39.556893000
859.926943734,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:39.835944000
860.217500036,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:40.126500000
860.528612276,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:40.437612000
860.828525036,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:40.737525000
861.137029984,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:41.046030000
861.426095244,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:41.335095000
861.731393629,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:41.640394000
862.037045035,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:41.946045000
862.326988942,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:42.235989000
862.617414462,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:42.526414000
862.928392379,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:42.837392000
863.240716962,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:43.149717000
863.547034827,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:43.456035000
863.826936702,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:43.735937000
864.148321492,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:44.057321000
864.437186545,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:44.346187000
864.75708993,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:44.666090000
865.026938993,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:44.935939000
865.347528107,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:45.256528000
865.657608003,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:45.566608000
865.968376701,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:45.877377000
866.266915711,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:46.175916000
866.588793628,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:46.497794000
866.877720554,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:46.786721000
867.143263262,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:47.052263000
867.446978263,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:47.355978000
867.75398097,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:47.662981000
868.06722321,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:47.976223000
868.377896908,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:48.286897000
868.691337168,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:48.600337000
869.006972637,31.30085791,30.07340359,7.0,57.0,241.39999389648438,1511359765000.0,2017-11-22 11:09:48.915973000
